iter	Passed	Remaining
0	120	120731
1	121	60553
2	121	40515
3	122	30498
4	122	24462
5	123	20433
6	124	17593
7	124	15434
8	124	13760
9	125	12435
10	126	11347
11	126	10439
12	127	9671
13	127	9005
14	128	8430
15	128	7926
16	129	7483
17	129	7091
18	130	6734
19	130	6417
20	131	6129
21	132	5870
22	132	5637
23	133	5421
24	133	5225
25	134	5039
26	134	4864
27	135	4702
28	136	4554
29	136	4414
30	137	4285
31	137	4161
32	138	4047
33	138	3940
34	139	3843
35	139	3747
36	140	3659
37	141	3574
38	141	3494
39	142	3416
40	142	3339
41	143	3269
42	143	3201
43	144	3136
44	144	3074
45	145	3018
46	146	2960
47	146	2912
48	147	2865
49	148	2817
50	148	2769
51	149	2724
52	150	2682
53	150	2641
54	151	2601
55	151	2562
56	152	2523
57	153	2485
58	153	2451
59	154	2418
60	155	2386
61	155	2355
62	156	2323
63	156	2292
64	157	2262
65	157	2233
66	158	2204
67	158	2177
68	159	2152
69	160	2126
70	160	2100
71	161	2077
72	161	2055
73	162	2036
74	163	2015
75	164	1994
76	164	1973
77	165	1952
78	165	1933
79	166	1914
80	166	1894
81	167	1874
82	167	1852
83	168	1834
84	169	1819
85	170	1812
86	171	1797
87	171	1781
88	172	1766
89	173	1750
90	173	1735
91	174	1719
92	174	1703
93	175	1687
94	175	1672
95	176	1659
96	176	1647
97	177	1635
98	178	1623
99	178	1609
100	179	1596
101	179	1584
102	180	1572
103	181	1561
104	181	1549
105	182	1538
106	183	1527
107	183	1516
108	184	1506
109	185	1497
110	186	1490
111	186	1481
112	187	1470
113	187	1460
114	188	1450
115	189	1443
116	189	1432
117	190	1422
118	190	1413
119	191	1407
120	192	1399
121	193	1389
122	193	1380
123	194	1371
124	194	1362
125	195	1354
126	195	1345
127	196	1336
128	196	1329
129	197	1320
130	197	1312
131	198	1305
132	199	1298
133	199	1291
134	200	1284
135	201	1278
136	201	1270
137	202	1263
138	202	1256
139	203	1249
140	203	1241
141	204	1233
142	204	1226
143	205	1219
144	205	1213
145	206	1208
146	207	1202
147	207	1196
148	208	1190
149	208	1183
150	209	1177
151	210	1171
152	210	1165
153	211	1159
154	211	1152
155	211	1146
156	212	1141
157	213	1136
158	213	1131
159	214	1126
160	215	1120
161	215	1115
162	216	1110
163	216	1104
164	217	1099
165	217	1094
166	218	1088
167	218	1083
168	219	1078
169	219	1073
170	220	1068
171	221	1066
172	222	1061
173	222	1057
174	223	1052
175	223	1047
176	224	1043
177	224	1038
178	225	1033
179	225	1029
180	226	1024
181	226	1019
182	227	1016
183	228	1013
184	229	1010
185	230	1006
186	230	1002
187	231	998
188	231	994
189	232	990
190	232	986
191	233	982
192	233	977
193	234	974
194	235	970
195	236	968
196	236	964
197	237	960
198	237	956
199	238	953
200	238	949
201	239	945
202	239	942
203	240	938
204	240	934
205	241	930
206	242	927
207	242	924
208	243	921
209	244	918
210	244	915
211	245	912
212	245	908
213	246	905
214	247	902
215	247	899
216	248	895
217	248	892
218	249	889
219	250	886
220	251	884
221	251	882
222	252	879
223	252	876
224	253	873
225	254	870
226	254	867
227	255	864
228	255	861
229	256	858
230	256	855
231	257	853
232	258	850
233	259	848
234	259	845
235	260	842
236	260	839
237	261	836
238	261	833
239	262	830
240	262	827
241	263	824
242	263	821
243	264	819
244	265	817
245	266	815
246	266	813
247	267	810
248	267	807
249	268	805
250	269	803
251	269	800
252	270	797
253	270	795
254	271	792
255	271	790
256	272	788
257	273	786
258	274	784
259	274	781
260	275	779
261	275	776
262	276	774
263	276	772
264	277	769
265	277	766
266	278	764
267	278	761
268	279	759
269	280	758
270	281	756
271	281	754
272	282	751
273	282	749
274	283	747
275	284	745
276	284	743
277	285	741
278	285	738
279	286	737
280	287	735
281	288	733
282	288	731
283	289	729
284	290	727
285	290	725
286	291	723
287	291	721
288	292	719
289	292	716
290	293	714
291	293	712
292	294	711
293	295	709
294	295	707
295	296	705
296	297	703
297	297	701
298	298	699
299	298	697
300	299	695
301	299	693
302	300	691
303	301	689
304	301	687
305	302	686
306	303	684
307	303	682
308	304	680
309	304	678
310	305	676
311	305	674
312	306	672
313	306	670
314	307	668
315	307	666
316	308	664
317	309	663
318	310	661
319	310	660
320	311	658
321	311	656
322	312	654
323	312	652
324	313	651
325	313	649
326	314	647
327	314	645
328	315	643
329	316	641
330	316	640
331	317	638
332	318	637
333	318	635
334	319	633
335	319	632
336	320	630
337	320	628
338	321	626
339	321	624
340	322	622
341	322	621
342	323	620
343	324	618
344	325	617
345	325	615
346	326	613
347	326	612
348	327	610
349	327	608
350	328	606
351	328	605
352	329	603
353	329	601
354	330	599
355	330	598
356	331	596
357	332	595
358	332	594
359	333	592
360	333	590
361	334	589
362	334	587
363	335	586
364	335	584
365	336	582
366	336	581
367	337	579
368	338	578
369	338	576
370	339	575
371	340	574
372	340	572
373	341	571
374	341	569
375	342	568
376	342	566
377	343	564
378	343	563
379	344	561
380	344	560
381	345	558
382	346	557
383	346	556
384	347	555
385	348	553
386	348	552
387	349	550
388	349	549
389	350	547
390	350	546
391	351	544
392	351	543
393	352	541
394	352	540
395	353	539
396	354	538
397	354	536
398	355	535
399	355	533
400	356	532
401	357	531
402	357	529
403	358	528
404	358	526
405	358	525
406	359	523
407	359	522
408	360	521
409	361	520
410	362	519
411	362	517
412	363	516
413	364	515
414	364	513
415	365	512
416	365	511
417	366	509
418	366	508
419	366	506
420	367	505
421	368	504
422	369	503
423	369	502
424	370	500
425	370	499
426	371	498
427	371	497
428	372	495
429	372	494
430	373	492
431	373	491
432	374	490
433	374	489
434	375	488
435	376	487
436	377	485
437	377	484
438	378	483
439	378	482
440	379	481
441	379	479
442	380	478
443	381	477
444	381	475
445	382	474
446	382	473
447	383	472
448	384	471
449	384	470
450	385	469
451	385	467
452	386	466
453	386	465
454	387	464
455	387	462
456	388	461
457	388	460
458	389	458
459	389	457
460	390	456
461	391	455
462	392	454
463	392	453
464	393	452
465	393	450
466	394	449
467	394	448
468	395	447
469	395	446
470	396	444
471	396	443
472	397	442
473	397	441
474	398	440
475	399	439
476	399	438
477	400	437
478	400	436
479	401	434
480	402	433
481	402	432
482	403	431
483	403	430
484	404	429
485	404	428
486	405	427
487	406	426
488	406	425
489	407	424
490	408	422
491	408	421
492	409	420
493	409	419
494	410	418
495	410	417
496	411	415
497	411	414
498	412	413
499	412	412
500	413	411
501	414	410
502	414	409
503	415	408
504	415	407
505	416	406
506	417	405
507	417	404
508	417	403
509	418	402
510	418	400
511	419	399
512	420	398
513	421	398
514	421	397
515	422	396
516	422	395
517	423	393
518	423	392
519	424	391
520	425	390
521	425	389
522	425	388
523	426	387
524	427	386
525	427	385
526	428	384
527	429	383
528	429	382
529	430	381
530	430	380
531	431	379
532	431	378
533	432	377
534	432	376
535	433	375
536	433	374
537	434	373
538	435	372
539	435	371
540	436	370
541	436	369
542	437	368
543	438	367
544	438	366
545	438	365
546	439	363
547	439	362
548	440	361
549	440	360
550	441	359
551	442	358
552	442	357
553	443	356
554	443	355
555	444	355
556	445	354
557	445	353
558	446	352
559	446	350
560	447	349
561	447	348
562	448	347
563	448	346
564	449	345
565	449	344
566	450	344
567	451	343
568	451	342
569	452	341
570	452	340
571	453	339
572	454	338
573	454	337
574	455	336
575	455	335
576	455	334
577	456	333
578	457	332
579	458	331
580	458	330
581	459	329
582	459	328
583	460	328
584	461	327
585	461	326
586	462	325
587	462	324
588	462	323
589	463	322
590	464	321
591	464	320
592	465	319
593	466	318
594	466	317
595	467	316
596	467	315
597	468	314
598	468	313
599	469	312
600	469	311
601	470	310
602	470	309
603	471	308
604	471	307
605	472	307
606	473	306
607	473	305
608	474	304
609	474	303
610	475	302
611	475	301
612	476	300
613	476	299
614	477	298
615	477	297
616	477	296
617	478	295
618	479	294
619	480	294
620	480	293
621	481	292
622	481	291
623	482	290
624	482	289
625	483	288
626	483	287
627	484	286
628	484	285
629	485	284
630	485	284
631	486	283
632	486	282
633	487	281
634	488	280
635	488	279
636	489	278
637	490	278
638	490	277
639	491	276
640	491	275
641	492	274
642	492	273
643	493	272
644	493	271
645	494	270
646	494	270
647	495	269
648	496	268
649	496	267
650	497	266
651	497	265
652	498	264
653	498	263
654	499	262
655	499	262
656	500	261
657	500	260
658	501	259
659	501	258
660	502	257
661	503	256
662	503	256
663	504	255
664	504	254
665	505	253
666	506	252
667	506	251
668	507	250
669	507	250
670	508	249
671	509	248
672	510	247
673	510	247
674	511	246
675	512	245
676	512	244
677	513	243
678	514	243
679	514	242
680	515	241
681	516	240
682	516	239
683	517	239
684	518	238
685	518	237
686	519	236
687	519	235
688	520	234
689	521	234
690	521	233
691	521	232
692	522	231
693	523	230
694	523	229
695	524	229
696	524	228
697	525	227
698	526	226
699	526	225
700	527	224
701	527	224
702	528	223
703	528	222
704	529	221
705	529	220
706	530	219
707	531	219
708	531	218
709	532	217
710	533	216
711	533	215
712	534	214
713	534	214
714	535	213
715	535	212
716	535	211
717	536	210
718	536	209
719	537	208
720	537	208
721	538	207
722	539	206
723	540	205
724	540	205
725	541	204
726	541	203
727	542	202
728	542	201
729	543	200
730	543	199
731	543	199
732	544	198
733	544	197
734	545	196
735	546	195
736	546	195
737	547	194
738	547	193
739	548	192
740	548	191
741	549	191
742	549	190
743	550	189
744	550	188
745	551	187
746	551	186
747	552	186
748	552	185
749	553	184
750	553	183
751	554	182
752	555	182
753	555	181
754	556	180
755	556	179
756	557	178
757	557	178
758	558	177
759	558	176
760	559	175
761	559	174
762	560	174
763	561	173
764	561	172
765	562	171
766	562	170
767	563	170
768	563	169
769	564	168
770	564	167
771	565	166
772	565	166
773	566	165
774	566	164
775	567	163
776	567	162
777	568	162
778	568	161
779	569	160
780	570	159
781	570	159
782	570	158
783	571	157
784	571	156
785	572	155
786	572	155
787	573	154
788	573	153
789	574	152
790	574	151
791	575	151
792	575	150
793	576	149
794	577	148
795	577	148
796	578	147
797	578	146
798	579	145
799	579	144
800	580	144
801	580	143
802	581	142
803	581	141
804	582	141
805	582	140
806	583	139
807	583	138
808	584	137
809	584	137
810	585	136
811	585	135
812	586	134
813	586	134
814	587	133
815	587	132
816	588	131
817	588	130
818	589	130
819	589	129
820	590	128
821	590	127
822	591	127
823	592	126
824	592	125
825	593	124
826	593	124
827	594	123
828	594	122
829	595	121
830	595	121
831	596	120
832	596	119
833	597	118
834	598	118
835	599	117
836	599	116
837	600	116
838	600	115
839	601	114
840	601	113
841	602	113
842	602	112
843	603	111
844	603	110
845	604	110
846	604	109
847	605	108
848	606	107
849	606	107
850	607	106
851	607	105
852	608	104
853	608	104
854	609	103
855	609	102
856	610	101
857	610	101
858	611	100
859	611	99
860	612	98
861	613	98
862	613	97
863	614	96
864	614	95
865	615	95
866	615	94
867	616	93
868	616	92
869	616	92
870	617	91
871	617	90
872	618	89
873	618	89
874	619	88
875	619	87
876	620	87
877	621	86
878	621	85
879	622	84
880	622	84
881	623	83
882	623	82
883	624	81
884	624	81
885	625	80
886	625	79
887	626	79
888	627	78
889	627	77
890	628	76
891	629	76
892	629	75
893	630	74
894	630	73
895	631	73
896	631	72
897	632	71
898	632	71
899	633	70
900	633	69
901	634	68
902	634	68
903	635	67
904	636	66
905	636	66
906	637	65
907	637	64
908	638	63
909	638	63
910	639	62
911	639	61
912	639	60
913	640	60
914	640	59
915	641	58
916	641	58
917	642	57
918	643	56
919	643	55
920	644	55
921	645	54
922	645	53
923	646	53
924	646	52
925	647	51
926	648	51
927	648	50
928	649	49
929	649	48
930	650	48
931	651	47
932	651	46
933	652	46
934	652	45
935	653	44
936	654	43
937	654	43
938	655	42
939	655	41
940	656	41
941	656	40
942	657	39
943	658	39
944	658	38
945	659	37
946	660	36
947	660	36
948	661	35
949	662	34
950	662	34
951	663	33
952	663	32
953	663	32
954	664	31
955	665	30
956	666	29
957	666	29
958	667	28
959	667	27
960	668	27
961	668	26
962	669	25
963	669	25
964	670	24
965	670	23
966	671	22
967	671	22
968	672	21
969	673	20
970	674	20
971	674	19
972	675	18
973	675	18
974	676	17
975	677	16
976	677	15
977	677	15
978	678	14
979	678	13
980	679	13
981	680	12
982	680	11
983	681	11
984	682	10
985	682	9
986	683	9
987	684	8
988	684	7
989	685	6
990	685	6
991	686	5
992	686	4
993	687	4
994	688	3
995	689	2
996	689	2
997	690	1
998	690	0
999	691	0
